compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,esri_score,hk_number_of_discharges,hk_excess_readmission_ratio,hk_predicted_readmission_rate,hk_expected_readmission_rate,hk_number_of_readmissions,cabg_number_of_discharges,cabg_excess_readmission_ratio,cabg_predicted_readmission_rate,cabg_expected_readmission_rate,cabg_number_of_readmissions,ami_number_of_discharges,ami_excess_readmission_ratio,ami_predicted_readmission_rate,ami_expected_readmission_rate,ami_number_of_readmissions,hf_number_of_discharges,hf_excess_readmission_ratio,hf_predicted_readmission_rate,hf_expected_readmission_rate,hf_number_of_readmissions,copd_number_of_discharges,copd_excess_readmission_ratio,copd_predicted_readmission_rate,copd_expected_readmission_rate,copd_number_of_readmissions,pn_number_of_discharges,pn_excess_readmission_ratio,pn_predicted_readmission_rate,pn_expected_readmission_rate,pn_number_of_readmissions,in_hrrp,hospital_county,hospital_lon,hospital_lat,hk_excess_readmission_ratio_median,cabg_excess_readmission_ratio_median,ami_excess_readmission_ratio_median,hf_excess_readmission_ratio_median,copd_excess_readmission_ratio_median,pn_excess_readmission_ratio_median
CHSP00008210,027009,Petersburg Medical Center,103 Fram St,Petersburg,AK,99833,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Petersburg,-132.95528,56.812494,,,,,,
CHSP00006816,030019,Tempe Saint Lukes Hospital Campus Of Saint Lukes Medical Center,1500 S Mill Ave,Tempe,AZ,85281,1,HSI00001037,Steward Health Care System,Dallas,TX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Maricopa,-111.939926,33.412408,1.2733,1.07865,1.0373,1.06115,0.9931,1.0114
CHSP00000985,030100,Carondelet Heart And Vascular Institute,1601 W Saint Marys Rd,Tucson,AZ,85745,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Pima,-110.999037,32.22877,1.1091,1.0965,1.0289,1.0204,1.0127,1.0009
CHSP00000214,030102,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,85016,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Maricopa,-112.039987,33.480284,1.1091,1.0965,1.0289,1.0204,1.0127,1.0009
CHSP00007842,030118,Yavapai Regional Medical Center East Campus,7700 E Florentine Rd,Prescott Valley,AZ,86314,1,HSI00001273,Yavapai Regional Medical Center,Prescott,AZ,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Yavapai,-112.330764,34.590825,0.9784,1.4935,1.0391,0.9124,1.0193,0.9454
CHSP00007978,033040,Dignity Health East Valley Rehab Hos,1515 W Chandler Blvd,Chandler,AZ,85224,0,HSI00000314,Dignity Health,San Francisco,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Maricopa,-111.867959,33.305901,1.03955,1.06835,1.028,1.01335,0.99905,0.98065
CHSP00008240,033041,Rehabilitation Hospital Of Northern Arizona,1851 N Gemini Dr,Flagstaff,AZ,86001,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Coconino,-111.630375,35.209403,,,,,,
CHSP00007940,033830,Copper Queen Community Hospital,101 Cole Ave,Bisbee,AZ,85603,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cochise,-109.883047,31.41719,,,,,,
CHSP00007941,034032,Copper Springs,10550 W Mcdowell Rd,Avondale,AZ,85392,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Maricopa,-112.287498,33.464568,,,,,,
CHSP00007234,040080,Unity Health Harris Medical Center,1205 Mclain St,Newport,AR,72112,1,HSI00001145,Unity Health,Searcy,AR,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Jackson,-91.264942,35.608146,,,0.9925,1.0133,0.9445,0.9177
CHSP00004657,040138,Northwest Health System,3000 Medical Center Pkwy,Bentonville,AR,72712,1,HSI00000249,Community Health Systems,Franklin,TN,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Benton,-94.189767,36.339159,1.07475,1.0246499999999998,1.03325,1.0096,1.0095,1.0044
CHSP00004653,040141,Northwest Arkansas Hospital Llc,4301 Greathouse Springs Rd,Johnson,AR,72741,1,HSI00000249,Community Health Systems,Franklin,TN,98.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Washington,-94.184067,36.138895,1.07475,1.0246499999999998,1.03325,1.0096,1.0095,1.0044
CHSP00007923,043035,Chi St. Vincent Hot Springs Rehabili,1636 Higdon Ferry Rd,Hot Springs,AR,71913,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Garland,-93.074024,34.46367,,,,,,
CHSP00008137,043479,Lawrence Memorial Hospital,1309 W Main St,Walnut Ridge,AR,72476,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Lawrence,-90.968137,36.07469,,,,,,
CHSP00007977,043486,Dewitt Hospital And Nursing Home Inc,1641 S Whitehead Dr,De Witt,AR,72042,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Arkansas,-91.337511,34.279129,,,,,,
CHSP00005700,044010,Saint Bernards Behavioral Health,2712 E Johnson Ave,Jonesboro,AR,72401,0,HSI00000911,Saint Bernards Healthcare,Jonesboro,AR,99.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Craighead,-90.669102,35.851331,0.9523,1.0874,1.0895,1.0753,1.1035,1.1301
CHSP00008381,044021,Woodridge Of West Memphis Llc,600 N 7th St,West Memphis,AR,72301,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Crittenden,-90.175883,35.152956,,,,,,
CHSP00008160,047008,Mcgehee Hospital Inc,900 S 3rd St,Mc Gehee,AR,71654,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Desha,-91.393392,33.618828,,,,,,
CHSP00007924,047099,Chi Saint Vincent Morrilton,4 Hospital Dr,Morrilton,AR,72110,1,HSI00000183,Catholic Health Initiatives,Englewood,CO,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Conway,-92.720072,35.169105,1.0045,0.92075,0.988,0.9852,0.98875,0.9649
CHSP00007883,047326,Baptist Health Medical Center Arkadelphia,3050 Twin Rivers Dr,Arkadelphia,AR,71923,1,HSI00000074,Baptist Health,Little Rock,AR,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Clark,-93.088515,34.123141,1.1062500000000002,0.9929,1.0236,1.0742,1.0279,0.9572
CHSP00001819,050188,El Camino Hospital Los Gatos,815 Pollard Rd,Los Gatos,CA,95032,1,HSI00000336,El Camino Hospital,Mountain View,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Santa Clara,-121.97009,37.262026,0.8106,1.0003,1.0485,0.9337,1.138,1.0027
CHSP00004243,050193,Mission Hospital Laguna Beach,31872 Coast Hwy,Laguna Beach,CA,92651,1,HSI00000852,Providence Saint Joseph Health,Renton,WA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Orange,-117.74189,33.499452,0.9312,0.9393,0.9905,0.9549,0.9837,0.9541
CHSP00007372,05026F,Va Palo Alto Health Care System Livermore Division,4951 Arroyo Rd,Livermore,CA,94550,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Alameda,-121.762355,37.62594,,,,,,
CHSP00005930,050270,Scripps Mercy Hospital Chula Vista,435 H St,Chula Vista,CA,91910,1,HSI00000968,Scripps Health,San Diego,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,San Diego,-117.082913,32.632822,0.9203,,0.9164,0.99505,0.993,0.99685
CHSP00001231,050369,Citrus Valley Medical Center Queen Of The Valley Hospital,1115 S Sunset Ave,West Covina,CA,91790,1,HSI00000226,Citrus Valley Health Partners,Covina,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Los Angeles,-117.946188,34.064316,,,1.0409,1.0799500000000002,1.0411,1.1164
CHSP00000081,050470,Adventist Medical Center Selma,1141 Rose Ave,Selma,CA,93662,1,HSI00000011,Adventist Health,Roseville,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Fresno,-119.598437,36.568815,1.01985,1.068,1.0256,0.99785,0.9772,0.9964
CHSP00005269,050571,Promise Hospital Of East Los Angeles Lp,16453 Colorado Ave,Paramount,CA,90723,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Los Angeles,-118.161421,33.884886,,,,,,
CHSP00006063,050613,Seton Coastside,600 Marine Blvd,Moss Beach,CA,94038,1,HSI00001224,Verity Health System,El Segundo,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,San Mateo,-122.507827,37.526997,1.0466,,0.9795,1.0329,0.991,1.0778
CHSP00004598,050680,Northbay Health Care Group,1000 Nut Tree Rd,Vacaville,CA,95687,1,HSI00000755,Northbay Healthcare Group,Fairfield,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Solano,-121.953027,38.355806,,,1.1289,1.1036,0.9641,1.0575
CHSP00006991,050749,Thousand Oaks Surgical Hospital,401 Rolling Oaks Dr,Thousand Oaks,CA,91361,0,HSI00000492,HCA Healthcare,Nashville,TN,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ventura,-118.868985,34.174445,1.1382,1.0792,1.0503,1.0566,1.0216,1.04095
CHSP00007911,050782,Casa Colina Hospital And Centers For,255 E Bonita Ave,Pomona,CA,91767,0,,,,,100.0,,,,,,,,,,,,,,,,59.0,0.959,23.4479,24.4499,11.0,,,,,,124.0,1.1047,20.0474,18.1477,32.0,1,Los Angeles,-117.745637,34.096289,,,,0.959,,1.1047
CHSP00001500,053028,Cottage Rehabilitation Hospital,2415 De La Vina St,Santa Barbara,CA,93105,0,HSI00000283,Cottage Health System,Santa Barbara,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Santa Barbara,-119.722478,34.433069,0.8812,1.0102,0.9761,0.8846,0.9275,0.9586
CHSP00008332,053038,Totally Kids Rehabilitation Hospital,1720 Mountain View Ave,Loma Linda,CA,92354,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,San Bernardino,-117.243696,34.070114,,,,,,
CHSP00007908,053039,California Rehabilitation Institute,2070 Century Park E,Los Angeles,CA,90067,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Los Angeles,-118.412374,34.058972,,,,,,
CHSP00006127,053310,Shriners Hospital For Crippled Child,909 S Fair Oaks Ave,Pasadena,CA,91105,0,HSI00000981,Shriners Hospitals for Children,Tampa,FL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Los Angeles,-118.150376,34.130483,,,,,,
CHSP00008023,053981,Glenn Medical Center,1133 W Sycamore St,Willows,CA,95988,1,HSI00000011,Adventist Health,Roseville,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Glenn,-122.208118,39.520509,1.01985,1.068,1.0256,0.99785,0.9772,0.9964
CHSP00003415,054144,Langley Porter Psychiatric Hospital,401 Parnassus Ave,San Francisco,CA,94143,0,HSI00001168,UC Health,Oakland,CA,99.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,San Francisco,-122.456763,37.763761,1.0292,0.9267,1.01735,1.03055,1.0163,1.04095
CHSP00003063,054150,Kaiser Permanente Psych Health Facil,3840 Homestead Rd,Santa Clara,CA,95051,0,HSI00000536,Kaiser Permanente,Oakland,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Santa Clara,-122.000963,37.337721,,,0.9455,1.03315,1.007,1.00115
CHSP00005884,054152,Telecare Santa Cruz Phf,2250 Soquel Ave,Santa Cruz,CA,95062,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Santa Cruz,-121.994042,36.983559,,,,,,
CHSP00007882,054155,Bakersfield Behavioral Healthcare Ho,5201 White Ln,Bakersfield,CA,93309,0,HSI00000404,Good Samaritan Hospital,Los Angeles,CA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Kern,-119.060631,35.318019,,,1.0335,1.1133,1.0457,0.9583
CHSP00008117,057234,John C Fremont Healthcare District,5189 Hospital Rd,Mariposa,CA,95338,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Mariposa,-119.976977,37.500445,,,,,,
CHSP00008286,058523,Southern Mono Healthcare District,85 Sierra Park Rd,Mammoth Lakes,CA,93546,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Mono,-118.963891,37.645759,,,,,,
CHSP00008184,058578,Northern Inyo Healthcare District,150 Pioneer Ln,Bishop,CA,93514,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Inyo,-118.407326,37.362175,,,,,,
CHSP00008244,05A263,Riverside Behavioral Healthcare Center,4580 Palm Ave,Riverside,CA,92501,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Riverside,-117.38985,33.978037,,,,,,
CHSP00008272,060127,Scl Health Community Hospital - West,6500 W 104th Ave,Broomfield,CO,80020,1,HSI00000991,SCL Health,Broomfield,CO,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Jefferson,-105.068324,39.88812,0.8046500000000001,1.0468,0.9267,0.9447,0.9254,0.9688
CHSP00008347,060128,Uchealth Longs Peak Hospital,1750 E Ken Pratt Blvd,Longmont,CO,80504,1,HSI00001169,University of Colorado Health,Aurora,CO,99.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Boulder,-105.059074,40.160378,0.8313,1.0104,0.919,0.912,0.93475,1.0039
CHSP00007867,061336,Arkansas Valley Regl Med Ctr,1100 Carson Ave,La Junta,CO,81050,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Otero,-103.548821,37.977564,,,,,,
CHSP00008124,061343,Keefe Memorial Health Service District,602 N 6th W St,Cheyenne Wells,CO,80810,0,,,,,95.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cheyenne,-102.355626,38.825769,,,,,,
CHSP00007931,064027,Clear View Behavioral Health,4770 Larimer Pkwy,Johnstown,CO,80534,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Larimer,-104.973866,40.404489,,,,,,
CHSP00007998,067144,Estes Park Hospital District,555 Prospect Ave,Estes Park,CO,80517,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Larimer,-105.514246,40.372174,,,,,,
CHSP00008232,067267,Rangely District Hospital,225 Eagle Crest St,Rangely,CO,81648,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Rio Blanco,-108.806571,40.08028,,,,,,
CHSP00008141,067277,Lincoln Community Hospital And Nursing Home,111 6th St,Hugo,CO,80821,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Lincoln,-103.473563,39.137781,,,,,,
CHSP00007835,070001,Yale New Haven Hospital Saint Raphael Campus,1450 Chapel St,New Haven,CT,6511,1,HSI00001272,Yale New Haven Health System,New Haven,CT,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,New Haven,-72.942628,41.310877,1.07225,1.03625,1.01895,1.0342,1.0305,1.044
CHSP00006924,070009,The Hospital Of Central Connecticut,81 Meriden Ave,Southington,CT,6489,1,HSI00000452,Hartford Healthcare Corporation,Hartford,CT,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hartford,-72.876052,41.595275,1.0567,1.0795,1.0252,1.00465,1.0288,0.98115
CHSP00004481,070015,New Milford Hospital Inc,21 Elm St,New Milford,CT,6776,1,HSI00001253,Western Connecticut Health Network,Danbury,CT,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Litchfield,-73.409519,41.580909,1.10415,,0.9925,0.99385,0.95885,0.9436
CHSP00005787,074000,Saint Vincent Medical Center Behavioral Health Services,47 Long Lots Rd,Westport,CT,6880,0,HSI00000055,Ascension Health,Saint Louis,MO,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Fairfield,-73.332184,41.143977,0.98255,1.0454,0.9983,0.9865,0.9888,0.9754
CHSP00000479,080009,Milford Memorial Hospital,21 W Clarke Ave,Milford,DE,19963,1,HSI00000094,Bayhealth,Dover,DE,100.0,292.0,0.9821,3.8808,3.9514,11.0,,,,,,53.0,1.0103,19.5787,19.3782,11.0,441.0,1.0098,21.6247,21.4156,96.0,298.0,0.9921,18.3522,18.499,54.0,438.0,0.9581,14.8232,15.4708,62.0,1,Sussex,-75.433567,38.906345,0.9558,1.171,1.02095,1.0774,1.01245,1.02225
CHSP00003422,100015,Largo Medical Center Indian Rocks Campus,2025 Indian Rocks Rd S,Largo,FL,33774,1,HSI00000492,HCA Healthcare,Nashville,TN,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Pinellas,-82.825295,27.899247,1.1382,1.0792,1.0503,1.0566,1.0216,1.04095
CHSP00004006,100061,Mercy Hospital,3663 S Miami Ave,Miami,FL,33133,1,HSI00000492,HCA Healthcare,Nashville,TN,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Miami-Dade,-80.216141,25.743347,1.1382,1.0792,1.0503,1.0566,1.0216,1.04095
CHSP00002947,100114,Jackson North Medical Center,160 Nw 170th St,North Miami Beach,FL,33169,0,HSI00000523,Jackson Health System,Miami,FL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Miami-Dade,-80.203097,25.930827,,,1.1802,1.1468,1.0675,0.9876
CHSP00003359,10015F,Lake City Veterans Affairs Medical Center,619 S Marion Ave,Lake City,FL,32025,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Columbia,-82.636919,30.181768,,,,,,
CHSP00004583,100210,North Shore Medical Center Inc,5000 W Oakland Park Blvd,Fort Lauderdale,FL,33313,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Broward,-80.218644,26.164254,1.1091,1.0965,1.0289,1.0204,1.0127,1.0009
CHSP00006205,100225,South Broward Hospital District,3600 Washington St,Hollywood,FL,33021,1,HSI00000653,Memorial Healthcare System,Hollywood,FL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Broward,-80.179987,26.003026,1.2286,1.0042,0.98045,1.00485,1.02245,0.9554
CHSP00008196,100329,Oviedo Medical Center,8300 Red Bug Lake Rd,Oviedo,FL,32765,1,HSI00000492,HCA Healthcare,Nashville,TN,100.0,,,,,,,,,,,,,,,,91.0,1.0127,21.0781,20.8146,20.0,,,,,,107.0,0.9821,14.2184,14.4771,14.0,1,Seminole,-81.227448,28.657926,1.1382,1.0792,1.0503,1.0566,1.0216,1.04095
CHSP00002000,101312,Fishermens Hospital,3301 Overseas Hwy,Marathon,FL,33050,1,HSI00000075,Baptist Health,Jacksonville,FL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monroe,-81.094692,24.711107,1.0764,1.0999,1.0031,0.9647,1.0144,1.0007
CHSP00007929,101970,Citrus Health Network Inc,4175 W 20th Ave,Hialeah,FL,33012,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Miami-Dade,-80.322276,25.859752,,,,,,
CHSP00008222,102031,Promise Hospital Of Miami,14001 Nw 82nd Ave,Miami Lakes,FL,33016,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Miami-Dade,-80.332363,25.90032,,,,,,
CHSP00005128,103030,Pinecrest At Delray Medical Center,5360 Linton Blvd,Delray Beach,FL,33484,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Palm Beach,-80.126326,26.439189,1.1091,1.0965,1.0289,1.0204,1.0127,1.0009
CHSP00007910,103446,Campbellton Graceville Hospital,5429 College Dr,Graceville,FL,32440,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Jackson,-85.505634,30.963173,,,,,,
CHSP00008183,104007,Northeast Florida State Hospital,7487 S State Road 121,Macclenny,FL,32063,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Baker,-82.145017,30.227968,,,,,,
CHSP00002349,104032,Gulf Coast Treatment Center,1015 Mar Walt Dr,Fort Walton Beach,FL,32547,0,HSI00001148,Universal Health Services,Norristown,PA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Okaloosa,-86.63543,30.45525,1.2014,1.0710000000000002,1.0016,1.06765,1.0187499999999998,1.08755
CHSP00006295,104049,Southern Winds Health,4225 W 20th Ave,Hialeah,FL,33012,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Miami-Dade,-80.322286,25.860333,,,,,,
CHSP00000269,104065,Atlantic Shores Hospital,4545 N Federal Hwy,Fort Lauderdale,FL,33308,0,HSI00001148,Universal Health Services,Norristown,PA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Broward,-80.118322,26.184433,1.2014,1.0710000000000002,1.0016,1.06765,1.0187499999999998,1.08755
CHSP00007256,104076,University Behavioral Center,2500 Discovery Dr,Orlando,FL,32826,0,HSI00001148,Universal Health Services,Norristown,PA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Orange,-81.191697,28.582363,1.2014,1.0710000000000002,1.0016,1.06765,1.0187499999999998,1.08755
CHSP00008135,104079,Larkin Community Hospital Behavioral,1201 N 37th Ave,Hollywood,FL,33021,0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Broward,-80.180798,26.020948,,,,,,
CHSP00007942,104080,Coral Shores Behavioral Health,5995 Se Community Dr,Stuart,FL,34997,0,HSI00001148,Universal Health Services,Norristown,PA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Martin,-80.221601,27.132093,1.2014,1.0710000000000002,1.0016,1.06765,1.0187499999999998,1.08755
CHSP00008186,106055,Northwest Florida Health Care Inc,1360 Brickyard Rd,Chipley,FL,32428,1,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Washington,-85.54293,30.764586,,,,,,
CHSP00008005,109802,Florida Hospital For Women,601 E Rollins St,Orlando,FL,32803,1,HSI00000010,Adventist Health System,Altamonte Springs,FL,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Orange,-81.369771,28.573151,1.021,1.1265,1.01825,0.99605,1.0002,0.9806
CHSP00005091,110163,Phoebe Putney Memorial Hospital North Campus,2000 Palmyra Rd,Albany,GA,31701,1,HSI00000823,Phoebe Putney Health Systems,Albany,GA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Dougherty,-84.171174,31.605529,,1.0585,1.0549,1.07725,1.0088,0.9932
CHSP00007614,110219,Wellstar Atlanta Medical Center South,1170 Cleveland Ave,East Point,GA,30344,1,HSI00001244,WellStar Health System,Marietta,GA,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Fulton,-84.426928,33.681393,1.17545,0.9418,0.9789,1.0421,0.9838,1.0191
