health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,hosp_cnt,acutehosp_cnt,nh_cnt,sys_multistate,sys_beds,sys_dsch,sys_res,maj_inv_owned,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts,sys_ma_plan_enroll,sys_apm,sys_aco,sys_ebpm,sys_pctm,sys_hq_city_lon,sys_hq_city_lat,sys_ownership_cat_hcris
HSI00000032,Altru Health System,Grand Forks,ND,1,0,17830969.0,,295,126.0,57.0,28.0,29.0,1,1,0.0,1,276.0,14257.0,30.19,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1,0,0,33,-97.03173,47.92433,Nonprofit
HSI00000034,Anderson Regional Health System,Meridian,MS,1,0,18359667.0,,69,14.0,42.0,5.0,25.0,2,2,0.0,1,293.0,11489.0,0.23,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,24,0,0,-88.70308,32.36508,Nonprofit
HSI00000036,Ann and Robert H Lurie Childrens Hospital,Chicago,IL,1,0,17773934.0,,552,207.0,251.0,10.0,13.0,1,1,0.0,1,312.0,11868.0,244.49,0.0,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-87.63245,41.88425,Nonprofit
HSI00000038,Anne Arundel Health System,Annapolis,MD,1,0,17830970.0,,397,98.0,105.0,75.0,91.0,1,1,0.0,1,415.0,25069.0,8.64,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1,234,0,0,-76.49014,38.97678,Nonprofit
HSI00000041,Appalachian Regional Healthcare,Lexington,KY,1,1,17774074.0,145.0,210,77.0,64.0,14.0,47.0,12,12,1.0,2,803.0,26280.0,9.32,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-84.50032,38.04859,Nonprofit
HSI00000042,Appalachian Regional Healthcare System,Boone,NC,1,1,18197550.0,866.0,98,34.0,40.0,16.0,23.0,2,2,1.0,1,119.0,4555.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,58,0,0,-81.68719,36.22048,Public/government
HSI00000045,Archbold Medical Center,Thomasville,GA,1,1,17830971.0,104.0,119,41.0,37.0,20.0,26.0,4,4,3.0,1,322.0,10650.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-83.98049,30.83642,Nonprofit
HSI00000046,Ardent Health Services,Nashville,TN,1,1,17847721.0,69.0,1127,441.0,393.0,141.0,236.0,29,23,1.0,3,3158.0,153859.0,142.58,1.0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,1,143,7,84,-86.77816,36.16784,For-profit/investor
HSI00000048,Jefferson Health,Radnor,PA,1,1,17773319.0,7775.0,3050,853.0,480.0,225.0,322.0,6,5,2.0,2,2518.0,118394.0,1072.32,0.0,0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,1,1549,53,238,-75.35991,40.04622,Nonprofit
HSI00000050,Arkansas Childrens Hospital,Little Rock,AR,1,0,18294566.0,,353,161.0,98.0,7.0,12.0,1,1,0.0,1,336.0,10244.0,157.7,0.0,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-92.27485,34.7487,Nonprofit
HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA,1,0,18155944.0,,72,29.0,16.0,18.0,21.0,1,1,1.0,1,133.0,4702.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-79.51945,40.81436,Nonprofit
HSI00000052,Arnot Health,Elmira,NY,1,1,18162204.0,809.0,248,91.0,58.0,32.0,60.0,3,3,2.0,1,274.0,10797.0,75.19,0.0,0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-76.79881,42.09041,Nonprofit
HSI00000053,Arrowhead Regional Medical Center,Colton,CA,1,0,18200674.0,,389,147.0,29.0,80.0,4.0,1,1,0.0,1,366.0,19884.0,145.71,0.0,0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-117.32321,34.07214,Public/government
HSI00000054,Asante Health System,Medford,OR,1,1,17817687.0,94.0,252,93.0,78.0,41.0,40.0,3,3,0.0,1,448.0,25462.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,1,0,0,32,-122.87561,42.32356,Nonprofit
HSI00000055,Ascension Health,Saint Louis,MO,1,1,17773929.0,198.0,11419,4553.0,2799.0,1207.0,1988.0,127,112,44.0,3,17577.0,828864.0,2440.39,0.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,H1181; H1518; H1714; H4198; H4402; H5215; H8769,69808.0,1,2974,11,289,-90.19956,38.62775,Church-operated
HSI00000056,Kings Daughters Medical Center,Ashland,KY,1,0,18179104.0,,174,57.0,117.0,17.0,48.0,2,2,1.0,2,449.0,14543.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,2,-82.64384,38.48082,Nonprofit
HSI00000057,Aspirus,Wausau,WI,1,1,18259070.0,519.0,437,182.0,148.0,99.0,106.0,9,9,2.0,2,422.0,21906.0,15.18,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,0,0,0,0,-89.63031,44.95953,Nonprofit
HSI00000059,Atlantic General Health System,Berlin,MD,1,0,18156810.0,,60,21.0,19.0,6.0,24.0,1,1,0.0,1,48.0,3200.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,43,0,0,-75.21836,38.3222,Nonprofit
HSI00000060,Atlantic Health System,Morristown,NJ,1,1,17773460.0,865.0,1120,381.0,199.0,84.0,229.0,5,5,1.0,1,1432.0,84262.0,281.77,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,608,48,27,-74.47774,40.79352,Nonprofit
HSI00000063,Augusta Health,Fishersville,VA,1,0,18296765.0,,191,57.0,52.0,31.0,44.0,1,1,1.0,1,166.0,10153.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,137,0,0,-78.97082,38.10006,Nonprofit
HSI00000064,Augusta University Medical Center,Augusta,GA,1,0,17774099.0,,950,292.0,103.0,46.0,49.0,3,2,0.0,1,511.0,21615.0,498.45,0.0,0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-81.97522,33.47929,Public/government
HSI00000065,Aultman Health Foundation,Canton,OH,1,1,17774075.0,859.0,238,99.0,57.0,19.0,36.0,5,3,0.0,1,510.0,25701.0,81.32,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,H3664,20033.0,1,203,0,7,-81.37194,40.79788,Nonprofit
HSI00000067,Avanti Hospitals,El Segundo,CA,1,1,18400874.0,869.0,81,11.0,10.0,6.0,5.0,4,4,2.0,1,403.0,16573.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-118.41597,33.92084,For-profit/investor
HSI00000068,Avera Health,Sioux Falls,SD,1,1,17774077.0,5255.0,820,344.0,348.0,163.0,216.0,38,35,23.0,3,1299.0,44508.0,45.59,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,1,661,0,0,-96.73128,43.54577,Church-operated
HSI00000070,BJC Healthcare,Saint Louis,MO,1,1,17773625.0,51.0,2951,768.0,567.0,77.0,238.0,22,18,6.0,2,3554.0,147969.0,931.34,0.0,1,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,1,445,0,0,-90.19956,38.62775,Nonprofit
HSI00000071,Bingham Memorial Hospital,Blackfoot,ID,1,0,18387409.0,,67,17.0,16.0,9.0,23.0,2,1,1.0,1,25.0,2000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,-112.34554,43.18901,Nonprofit
HSI00000073,Banner Health,Phoenix,AZ,1,1,17847448.0,194.0,3620,1208.0,675.0,351.0,324.0,29,27,1.0,3,4790.0,227964.0,765.49,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,H4931,12075.0,1,339,72,46,-112.0758,33.44825,Nonprofit
HSI00000074,Baptist Health,Little Rock,AR,1,1,17773298.0,355.0,298,108.0,135.0,24.0,121.0,10,8,1.0,1,1197.0,45371.0,8.19,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,H4213; H6342; H9699,17585.0,1,259,0,56,-92.27485,34.7487,Nonprofit
HSI00000075,Baptist Health,Jacksonville,FL,1,1,17829259.0,5.0,510,242.0,131.0,58.0,137.0,4,4,0.0,1,1049.0,60422.0,53.16,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1,275,0,0,-81.65622,30.33147,Nonprofit
HSI00000076,Baptist Health Care,Pensacola,FL,1,1,17773297.0,185.0,263,82.0,98.0,42.0,84.0,4,3,0.0,1,352.0,20532.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,1,0,13,0,-87.21723,30.42084,Nonprofit
HSI00000077,Baptist Health South Florida,Coral Gables,FL,1,1,17773783.0,122.0,969,246.0,315.0,101.0,131.0,7,7,0.0,1,2119.0,91879.0,49.43,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1,29,0,0,-80.26295,25.74923,Nonprofit
HSI00000080,Baptist Healthcare System,Louisville,KY,1,1,17773623.0,315.0,1114,354.0,429.0,132.0,274.0,10,10,2.0,2,2191.0,104315.0,22.33,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1,735,0,0,-85.76666,38.25489,Nonprofit
HSI00000081,Baptist Memorial Health Care Corporation,Memphis,TN,1,1,17773784.0,1625.0,1439,368.0,390.0,80.0,280.0,24,18,4.0,3,2577.0,109229.0,85.97,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1,266,31,28,-90.04925,35.14976,Church-operated
HSI00000086,Barton Healthcare System,South Lake Tahoe,CA,1,0,18190170.0,,111,31.0,17.0,12.0,18.0,2,2,1.0,2,86.0,3331.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1,63,0,0,-120.00781,38.91162,Nonprofit
HSI00000087,Bassett Healthcare Network,Cooperstown,NY,1,1,18956744.0,528.0,448,160.0,131.0,102.0,75.0,5,5,2.0,1,301.0,11995.0,54.22,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,314,0,0,-74.92513,42.70068,Nonprofit
HSI00000089,Baton Rouge General Health System,Baton Rouge,LA,1,0,18185304.0,,184,77.0,66.0,2.0,27.0,1,1,1.0,1,253.0,14715.0,57.99,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1,99,0,0,-91.18664,30.44335,Nonprofit
HSI00000090,Baxter Regional Medical Center,Mountain Home,AR,1,0,18389203.0,,56,13.0,40.0,2.0,20.0,1,1,0.0,1,147.0,8163.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,39,0,2,-92.38529,36.33526,Nonprofit
HSI00000094,Bayhealth,Dover,DE,1,0,17834336.0,,210,68.0,51.0,38.0,61.0,2,2,0.0,1,405.0,18857.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,78,0,0,-75.52473,39.15803,Nonprofit
HSI00000096,Baylor Scott and White Health,Dallas,TX,1,1,18387777.0,918.0,3622,1342.0,756.0,400.0,579.0,31,23,2.0,1,3716.0,236248.0,566.82,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,H2032; H4564; H8142; H8237,33568.0,1,2138,0,0,-96.79512,32.77822,Nonprofit
HSI00000097,Baystate Health,Springfield,MA,1,1,17773461.0,1095.0,924,283.0,227.0,116.0,110.0,4,4,0.0,1,889.0,46955.0,310.92,0.0,0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,H8578,8931.0,1,586,0,0,-72.58929,42.10125,Nonprofit
HSI00000098,Beacon Health System,South Bend,IN,1,1,18162616.0,940.0,362,156.0,104.0,23.0,74.0,3,2,1.0,2,584.0,27994.0,27.8,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,246,2,0,-86.25405,41.67907,Nonprofit
HSI00000100,Beaufort Memorial Hospital,Beaufort,SC,1,0,18287519.0,,95,38.0,27.0,16.0,21.0,1,1,0.0,1,167.0,8050.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-80.66993,32.43119,Public/government
HSI00000101,Beaumont Health Systems,Southfield,MI,1,1,17773685.0,953.0,1953,697.0,317.0,253.0,235.0,8,8,7.0,1,3108.0,168269.0,882.19,0.0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,375,0,42,-83.24111,42.48327,Nonprofit
HSI00000103,Beebe Healthcare,Lewes,DE,1,0,18402510.0,,116,39.0,43.0,16.0,38.0,1,1,0.0,1,193.0,10541.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,102,0,0,-75.1308,38.78043,Nonprofit
HSI00000105,Bellin Health Systems,Green Bay,WI,1,0,17829260.0,,241,100.0,163.0,44.0,79.0,3,2,0.0,1,171.0,8546.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,1,170,0,0,-88.01001,44.513,Nonprofit
HSI00000106,Beloit Health System,Beloit,WI,1,0,18395709.0,,127,38.0,24.0,16.0,16.0,1,1,1.0,1,103.0,4045.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,-89.03793,42.50701,Nonprofit
HSI00000107,Benefis Healthcare System,Great Falls,MT,1,1,18288440.0,538.0,148,39.0,54.0,26.0,11.0,3,3,2.0,1,362.0,10084.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0,0,0,0,-111.30607,47.50732,Nonprofit
HSI00000109,Berkshire Health Systems,Pittsfield,MA,1,1,17779641.0,2435.0,376,143.0,96.0,58.0,51.0,2,2,14.0,1,246.0,13495.0,63.55,0.0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,249,0,0,-73.25414,42.44771,Nonprofit
HSI00000110,Beth Israel Deaconess Medical Center,Boston,MA,1,0,18040796.0,,3288,889.0,355.0,75.0,136.0,4,4,0.0,1,952.0,57933.0,534.7,0.0,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1296,0,0,-71.05674,42.35866,Nonprofit
HSI00000113,University Health System,San Antonio,TX,1,0,17773346.0,,737,283.0,108.0,72.0,39.0,1,1,0.0,1,590.0,28233.0,456.0,0.0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,0,0,0,0,-98.49461,29.42458,Public/government
HSI00000114,Billings Clinic,Billings,MT,1,0,17830973.0,,436,172.0,96.0,102.0,21.0,11,11,3.0,2,406.0,17213.0,32.16,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,284,0,46,-108.50607,45.78426,Nonprofit
HSI00000117,Blessing Health System,Quincy,IL,1,0,17725373.0,,113,40.0,57.0,0.0,26.0,2,2,1.0,1,253.0,12130.0,16.22,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-91.39583,39.93559,Nonprofit
HSI00000118,Blount Memorial Hospital,Maryville,TN,1,0,18722944.0,,135,49.0,56.0,29.0,14.0,1,1,1.0,1,183.0,10791.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-83.9734,35.75379,Public/government
HSI00000125,Bon Secours Health System,Marriottsville,MD,1,1,17773930.0,5085.0,1232,501.0,380.0,152.0,352.0,11,11,3.0,3,1821.0,97173.0,76.75,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,667,20,3,-76.89874,39.35128,Church-operated
HSI00000130,Boston Childrens Hospital,Boston,MA,1,0,17773467.0,,1638,521.0,418.0,65.0,60.0,1,1,0.0,1,415.0,14902.0,309.63,0.0,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,2,0,0,-71.05674,42.35866,Nonprofit
HSI00000131,Boston Medical Center,Boston,MA,1,0,17773462.0,,1479,562.0,399.0,88.0,90.0,1,1,0.0,1,433.0,25715.0,523.41,0.0,0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,H9585,928.0,1,768,0,0,-71.05674,42.35866,Nonprofit
HSI00000132,Boulder Community Health,Boulder,CO,1,0,18352917.0,,202,72.0,39.0,36.0,42.0,1,1,0.0,1,139.0,8149.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,141,0,71,-105.27924,40.01574,Nonprofit
HSI00000135,Bozeman Deaconess Hospital,Bozeman,MT,1,0,18389200.0,,150,55.0,34.0,24.0,18.0,1,1,0.0,1,83.0,6928.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,33,-111.03222,45.67934,Nonprofit
HSI00000139,Bronson Healthcare,Kalamazoo,MI,1,1,17773787.0,595.0,510,155.0,166.0,130.0,114.0,4,4,1.0,1,648.0,35308.0,107.88,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1,345,0,52,-85.58839,42.29157,Nonprofit
HSI00000140,BronxCare Health System,Bronx,NY,1,0,17774080.0,,562,205.0,34.0,14.0,29.0,1,1,2.0,1,460.0,27005.0,324.08,0.0,0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,1,0,2,0,-73.92309,40.826,Nonprofit
HSI00000143,Bryan Health,Lincoln,NE,1,1,17773463.0,400.0,136,54.0,58.0,43.0,22.0,7,6,0.0,2,575.0,24996.0,17.94,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2,0,14,-96.7073,40.81362,Nonprofit
HSI00000146,Butler Health System,Butler,PA,1,0,17999450.0,,145,64.0,48.0,47.0,51.0,1,1,1.0,1,267.0,11951.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,135,0,0,-79.89527,40.86035,Nonprofit
HSI00000147,CAMC Health System,Charleston,WV,1,0,17774081.0,,413,116.0,79.0,34.0,44.0,2,2,0.0,1,826.0,37919.0,141.03,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-81.63895,38.35016,Nonprofit
HSI00000148,CGH Medical Center,Sterling,IL,1,0,18294505.0,,83,32.0,40.0,16.0,17.0,1,1,0.0,1,93.0,4079.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-89.69882,41.79405,Public/government
HSI00000152,Christus Health,Irving,TX,1,1,17774085.0,192.0,2383,619.0,465.0,161.0,278.0,32,26,2.0,3,4024.0,176574.0,164.9,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,H1189,1407.0,1,677,90,0,-96.95534,32.81352,Church-operated
HSI00000154,Cabell Huntington Hospital,Huntington,WV,1,0,18391710.0,,503,198.0,100.0,36.0,59.0,2,2,2.0,1,662.0,31561.0,153.55,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,255,7,0,-82.44551,38.42031,Church-operated
HSI00000155,Calvert Health System,Prince Frederick,MD,1,0,18344611.0,,71,25.0,21.0,9.0,16.0,1,1,0.0,1,71.0,5496.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-76.58499,38.54036,Nonprofit
HSI00000156,Cambridge Health Alliance,Cambridge,MA,1,0,17778721.0,,494,226.0,78.0,99.0,31.0,1,1,2.0,1,200.0,7624.0,92.67,0.0,0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,H2221,426.0,1,314,0,0,-71.10601,42.36679,Public/government
HSI00000159,Campbell County Health,Gillette,WY,1,0,18166198.0,,65,22.0,13.0,9.0,6.0,1,1,1.0,1,66.0,2253.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-105.50476,44.29318,Public/government
HSI00000161,Cape Cod Healthcare,Hyannis,MA,1,1,17773299.0,124.0,449,145.0,109.0,51.0,76.0,2,2,1.0,1,334.0,21642.0,3.93,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,25,0,0,-70.27927,41.65488,Nonprofit
HSI00000162,Cape Fear Valley Health System,Fayetteville,NC,1,1,17773626.0,835.0,307,112.0,70.0,84.0,47.0,4,3,0.0,1,620.0,35136.0,33.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1,166,0,0,-78.87727,35.05534,Public/government
HSI00000164,Capital Health System,Trenton,NJ,1,1,17845401.0,297.0,469,133.0,93.0,52.0,35.0,2,2,0.0,1,297.0,17189.0,36.52,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,158,0,35,-74.7594,40.21788,Nonprofit
HSI00000165,Capital Region Health Care,Concord,NH,1,0,17773627.0,,356,176.0,101.0,81.0,62.0,1,1,1.0,1,191.0,13141.0,26.75,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,193,0,0,-71.5366,43.20725,Nonprofit
HSI00000166,Care New England Health System,Providence,RI,1,1,17773628.0,99.0,1450,409.0,162.0,67.0,66.0,3,2,0.0,1,570.0,23876.0,119.96,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,239,0,0,-71.41199,41.82387,Nonprofit
HSI00000169,Carepoint Health,Jersey City,NJ,1,1,18408021.0,931.0,268,92.0,25.0,17.0,40.0,3,3,1.0,1,431.0,19002.0,105.75,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,-74.04385,40.71748,For-profit/investor
HSI00000170,Carilion Clinic,Roanoke,VA,1,1,17773464.0,70.0,1037,380.0,249.0,150.0,185.0,7,7,0.0,1,904.0,47865.0,235.66,0.0,0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1,657,0,0,-79.94057,37.27152,Nonprofit
