MetricDisplayName,RawName,DatasetName
AdmDrgLosAmeanLtNatlCnt,adm_drg_los_amean_lt_natl_cnt,rural_health_hospitals_consolidated.csv
InpEd,inp_ed,rural_health_hospitals_consolidated.csv
PQI90Cnt,PQI90_Cnt,rural_health_hospitals_consolidated.csv
HospHrr,hosp_hrr,rural_health_hospitals_consolidated.csv
InpCnt,Inp_Cnt,rural_health_hospitals_consolidated.csv
DschDrgRank1InpPct,dsch_drg_rank1_inp_pct,rural_health_hospitals_consolidated.csv
AdmDrgRank1InpCnt,adm_drg_rank1_inp_cnt,rural_health_hospitals_consolidated.csv
AvoidableEd,avoidable_ed,rural_health_hospitals_consolidated.csv
ReadmissionOtherHospExp,Readmission_OtherHosp_Exp,rural_health_hospitals_consolidated.csv
IndexAdmissionCnt,Index_Admission_Cnt,rural_health_hospitals_consolidated.csv
PQI90Exp,PQI90_Exp,rural_health_hospitals_consolidated.csv
ReadmissionSameDayCnt,Readmission_Same_Day_Cnt,rural_health_hospitals_consolidated.csv
ObsStay,obs_stay,rural_health_hospitals_consolidated.csv
AdmDrgRank1InpPct,adm_drg_rank1_inp_pct,rural_health_hospitals_consolidated.csv
OtherEd,other_ed,rural_health_hospitals_consolidated.csv
EdNonavoidablePmt,ed_nonavoidable_pmt,rural_health_hospitals_consolidated.csv
TotalIPOPExp,Total_IP_OP_Exp,rural_health_hospitals_consolidated.csv
OpEdVisit,op_ed_visit,rural_health_hospitals_consolidated.csv
AdmDrgLosGmeanLtNatlWtpct,adm_drg_los_gmean_lt_natl_wtpct,rural_health_hospitals_consolidated.csv
EdOtherPmt,ed_other_pmt,rural_health_hospitals_consolidated.csv
OpEdPmt,op_ed_pmt,rural_health_hospitals_consolidated.csv
